6000,11001,9000,Botswana
6001,11002,9001,Ethiopia
6002,11003,9002,Zimbabwe
6003,11004,9003,French Guiana
6004,11005,9004,Saint Lucia
6005,11006,9005,Tunisia
6006,11007,9006,India
6007,11008,9007,Solomon Islands
6008,11009,9008,Slovenia
6009,11010,9009,Seychelles
6010,11011,9010,Saudi Arabia
6011,11012,9011,Moldova
6012,11013,9012,Niue
6013,11014,9013,United Arab Emirates
6014,11015,9014,Brunei
6015,11016,9015,Syria
6016,11017,9016,Bouvet Island
6017,11018,9017,Micronesia
6018,11019,9018,Aruba
6019,11020,9019,Latvia
6020,11021,9020,Latvia
6021,11022,9021,Solomon Islands
6022,11023,9022,Slovenia
6023,11024,9023,Bonaire, Sint Eustatius and Saba
6024,11025,9024,Curaçao
6025,11026,9025,United Arab Emirates
6026,11027,9026,Bouvet Island
6027,11028,9027,Saint Helena, Ascension and Tristan da Cunha
6028,11029,9028,France
6029,11030,9029,United Arab Emirates
6030,11031,9030,Ecuador
6031,11032,9031,Wallis and Futuna
6032,11033,9032,Canada
6033,11034,9033,Georgia
6034,11035,9034,Reunion
6035,11036,9035,Turkmenistan
6036,11037,9036,Brunei
6037,11038,9037,Solomon Islands
6038,11039,9038,Haiti
6039,11040,9039,Greece
6040,11041,9040,Christmas Island
6041,11042,9041,Serbia
6042,11043,9042,Malta
6043,11044,9043,Solomon Islands
6044,11045,9044,Zambia
6045,11046,9045,Faroe Islands
6046,11047,9046,Comoros
6047,11048,9047,Bosnia and Herzegovina
6048,11049,9048,Guyana
6049,11050,9049,Burkina Faso
6050,11051,9050,Ghana
6051,11052,9051,Cook Islands
6052,11053,9052,United Kingdom (Great Britain)
6053,11054,9053,British Indian Ocean Territory
6054,11055,9054,Ghana
6055,11056,9055,Brazil
6056,11057,9056,Benin
6057,11058,9057,Mayotte
6058,11059,9058,Papua New Guinea
6059,11060,9059,Palestine, State of
6060,11061,9060,Tajikistan
6061,11062,9061,Turks and Caicos Islands
6062,11063,9062,Denmark
6063,11064,9063,Mauritania
6064,11065,9064,Uganda
6065,11066,9065,Japan
6066,11067,9066,Poland
6067,11068,9067,Western Sahara
6068,11069,9068,Martinique
6069,11070,9069,Tunisia
6070,11071,9070,Denmark
6071,11072,9071,Dominica
6072,11073,9072,Germany
6073,11074,9073,Guadeloupe
6074,11075,9074,Belarus
6075,11076,9075,Liberia
6076,11077,9076,Cambodia
6077,11078,9077,Lebanon
6078,11079,9078,Lithuania
6079,11080,9079,Singapore
6080,11081,9080,Antigua and Barbuda
6081,11082,9081,Zimbabwe
6082,11083,9082,New Caledonia
6083,11084,9083,Guadeloupe
6084,11085,9084,Bolivia
6085,11086,9085,Ethiopia
6086,11087,9086,Ethiopia
6087,11088,9087,Maldives
6088,11089,9088,Israel
6089,11090,9089,Saint Kitts and Nevis
6090,11091,9090,Chile
6091,11092,9091,Palau
6092,11093,9092,Lebanon
6093,11094,9093,Belize
6094,11095,9094,Bhutan
6095,11096,9095,Tajikistan
6096,11097,9096,Syria
6097,11098,9097,Martinique
6098,11099,9098,Norway
6099,11100,9099,Saint Vincent and The Grenadines
NULL,NULL,NULL,NULL
